codDepartamento,departamento,codMunicipio,municipio,totalPoblacion,emisionesEnergia,emisionesIPPU,emisionesAgricultura,emisionesResiduos,emisionesDeforestacion,emisionesTotales,capturaBosques,balanceCarbono,emisionesPerCapita,balancePerCapita,IEC,clasificacion,cluster,perfil,latitud,longitud
68,SANTANDER,68397,LA PAZ,4961,139.066704,1412.4450000000002,16101.59137142857,5.141441479030406,7739.749021257352,25397.99353816496,99423.83104290406,-74025.8375047391,5.1195310498216,-14.921555634900042,34.32519052333674,Sumidero,0,Agrícola-Ganadero,6.1833,-73.5833
68,SANTANDER,68385,LANDAZURI,10408,498.314754,162238.0,61958.74590379429,23.60471816313954,60398.18873465784,285116.85411061527,209797.3290384783,75319.52507213698,27.39400981078164,7.236695337445905,73.63562915944757,Emisor,1,Mixto-Transición,6.2167,-73.8167
68,SANTANDER,68406,LEBRIJA,43592,6178.507398,779.8,58666.39754866286,745.2820822222225,44134.26869955004,110504.25572843514,146571.17738545395,-36066.921657018815,2.534966409626425,-0.8273747856721145,44.45140762650559,Equilibrio,2,Mixto-Transición,7.1167,-73.2167
68,SANTANDER,68418,LOS SANTOS,14710,1264.999554,162683.6,13810.256137142856,115.77948666666668,134.44465054321793,178009.07982835275,30456.461962041703,147552.61786631105,12.101229084184416,10.030769399477297,86.26781428630062,Emisor,1,Mixto-Transición,6.7833,-73.1
68,SANTANDER,68425,MACARAVITA,2235,58.612554,6.65,9975.352305714285,10.996201481481483,0.0,10051.611061195768,26259.163256507487,-16207.55219531172,4.497365128051797,-7.251701205956027,50.0,Equilibrio,0,Agrícola-Ganadero,6.5,-72.5833
68,SANTANDER,68432,MALAGA,21541,1472.903838,14729.1,12847.009138571428,607.9743807407407,0.0,29656.98735731217,8549.455179984525,21107.532177327645,1.3767692937798697,0.9798770798629424,60.31839340240307,Emisor,1,Mixto-Transición,6.7,-72.7333
68,SANTANDER,68444,MATANZA,5143,240.499476,8737.975,9665.85312,66.68036666666667,2417.444796766102,21128.452759432774,89484.4776765456,-68356.02491711284,4.1081961422190885,-13.291080092769365,35.773479825009574,Sumidero,0,Agrícola-Ganadero,7.3333,-73.0167
68,SANTANDER,68464,MOGOTES,10742,417.68433,355.25,13683.639117142857,145.84931151383404,11168.138491390804,25770.561250047496,159044.89694948867,-133274.33569944117,2.3990468488221466,-12.40684562459888,21.18647367250757,Sumidero,2,Mixto-Transición,6.4833,-72.9667
68,SANTANDER,68468,MOLAGAVITA,4270,93.867228,22.75,15533.03393142857,2.390888888888889,538.0531036866744,16190.095152004133,41711.05315927742,-25520.95800727329,3.791591370492771,-5.97680515392817,47.389503335747854,Equilibrio,0,Agrícola-Ganadero,6.75,-72.8167
68,SANTANDER,68498,OCAMONTE,5862,245.828268,23.8,7736.65389142857,28.94808171919025,2590.929702355368,10626.15994350313,22257.395804575888,-11631.23586107276,1.8127191988234608,-1.9841753430693887,51.28360173627908,Equilibrio,0,Agrícola-Ganadero,6.45,-73.1167
68,SANTANDER,68500,OIBA,11032,1275.67881,11168.79,33428.81526857143,223.2592685020274,9692.100965385916,55788.64431245937,100267.7321643993,-44479.087851939934,5.056983712151864,-4.031824497093902,42.13429811145897,Equilibrio,0,Agrícola-Ganadero,6.2667,-73.2833
68,SANTANDER,68502,ONZAGA,4311,124.55163,16.1,11531.168268571428,40.41830850167454,975.7741791014404,12688.01238617454,169425.249504426,-156737.23711825145,2.9431715115227424,-36.35751266950857,17.12176500558041,Sumidero,0,Agrícola-Ganadero,6.3333,-72.8333
68,SANTANDER,68522,PALMAR,1401,65.160396,4.9,4882.536228571429,32.33906666666667,571.8202238459744,5556.75591508407,4387.5064962091255,1169.2494188749442,3.966278311980064,0.8345820263204455,54.85966552769951,Equilibrio,0,Agrícola-Ganadero,6.4833,-73.4833
68,SANTANDER,68524,PALMAS DEL SOCORRO,2603,162.247932,21.35,12031.779085714285,32.22799825436068,4710.353062341872,16957.95807831052,16439.173313156145,518.7847651543743,6.5147745210566725,0.1993026374008353,54.67883844682808,Equilibrio,0,Agrícola-Ganadero,6.15,-73.3167
68,SANTANDER,68533,PARAMO,4836,245.348838,604.8,7198.736022857143,49.92950271529836,5988.6547659873,14087.469129559742,18018.11849748894,-3930.649367929198,2.913041590066117,-0.8127893647496274,53.43884285075979,Equilibrio,2,Mixto-Transición,6.4333,-73.1833
68,SANTANDER,68547,PIEDECUESTA,175470,23116.046814,31788.9,37718.397411428574,6072.955404444447,3596.036231642346,102292.33586151536,126579.1732481556,-24286.83738664024,0.5829619642190424,-0.1384101976784649,47.73491098412898,Equilibrio,1,Mixto-Transición,6.9833,-73.05
68,SANTANDER,68549,PINCHOTE,5355,533.739654,64454.6,6808.249994285714,60.269123346950565,5213.968686069836,77070.8274577025,14864.636991547126,62206.19046615537,14.392311383324463,11.61646880787215,70.6813485776709,Emisor,1,Mixto-Transición,6.5333,-73.1833
68,SANTANDER,68572,PUENTE NACIONAL,14766,807.1353359999999,57.75,36014.35446285714,37.16650000000001,3131.955961674804,40048.36226053194,78090.63354660556,-38042.27128607362,2.712201155392925,-2.576342359885793,43.90474342912592,Equilibrio,0,Agrícola-Ganadero,5.8833,-73.6833
68,SANTANDER,68573,PUERTO PARRA,7918,623.46816,41.3,96721.18292016,21.22465372797056,165566.27339219925,262973.44912608725,154276.25903071696,108697.19009537029,33.212105219258305,13.72785931995078,80.24502088684142,Emisor,2,Mixto-Transición,7.1833,-73.9
68,SANTANDER,68575,PUERTO WILCHES,33635,6904.943766,320.6,106228.94507277716,492.1467444444445,258178.87377545383,372125.50935867545,120116.12440722703,252009.3849514484,11.063639344690811,7.492474652934396,95.30205616099516,Emisor,2,Mixto-Transición,7.35,-73.9
68,SANTANDER,68615,RIONEGRO,26880,2081.217348,2481.0,219757.59996996573,93.71405555555556,77684.41376419195,302097.9451377132,248843.21717532555,53254.72796238767,11.238762839944687,1.9812026771721605,68.55733487908553,Emisor,0,Agrícola-Ganadero,7.3833,-73.15
68,SANTANDER,68655,SABANA DE TORRES,34046,5041.113084,19319.660000000003,201746.40444733712,95.21322222222216,229358.0773802177,455560.468133777,242976.7792263276,212583.68890744945,13.380733952117048,6.24401365527373,92.87398818398448,Emisor,2,Mixto-Transición,7.3833,-73.5
68,SANTANDER,68669,SAN ANDRES,8809,299.333664,33.6,31434.59332571429,33.58114666666667,1243.957602097936,33045.06573847889,74698.8225488316,-41653.75681035271,3.7512845656123153,-4.728545443336668,42.90919510926755,Equilibrio,0,Agrícola-Ganadero,6.3833,-72.8333
68,SANTANDER,68673,SAN BENITO,2960,201.612222,91.1,2968.2325257142857,1.4898333333333338,4106.864090222859,7369.298671270479,13877.524087935435,-6508.225416664956,2.48962792948327,-2.1987248029273503,52.7184591418982,Equilibrio,2,Mixto-Transición,6.0667,-73.2333
68,SANTANDER,68679,SAN GIL,58286,6817.793472,24337.41,14571.984960000002,2244.121864444445,1580.89819682146,49552.20849326591,30173.428292283315,19378.78020098259,0.8501562724027366,0.3324774422842979,59.85313098919439,Equilibrio,1,Mixto-Transición,6.55,-73.1333
68,SANTANDER,68682,SAN JOAQUIN,2313,74.170782,9.1,4767.188988571428,4.896829277912508,1480.0551858535564,6335.411785702897,49312.5738441768,-42977.16205847391,2.739045302941157,-18.580701279063515,42.545770782003686,Equilibrio,0,Agrícola-Ganadero,6.45,-72.8
68,SANTANDER,68684,SAN JOSE DE MIRANDA,4442,150.946236,193.65,9359.319851428572,17.6087125925926,0.0,9721.524800021163,11366.185361884243,-1644.66056186308,2.188546780734166,-0.3702522651650338,54.07654494564055,Equilibrio,0,Agrícola-Ganadero,6.6167,-72.7
68,SANTANDER,68686,SAN MIGUEL,2572,74.984364,2665.59,6358.290279999999,2.2921111111111108,470.8937419394824,9572.050497050594,24274.4788345536,-14702.428337503006,3.721637051730402,-5.716340722201791,50.42225189653837,Equilibrio,0,Agrícola-Ganadero,6.3333,-72.6667
68,SANTANDER,68689,SAN VICENTE DE CHUCURI,33894,2166.082884,9490.95,96496.07728077716,465.44354014050816,212777.8584943365,321396.4121992542,348965.1643754119,-27568.752176157723,9.482398424477909,-0.8133814886457108,46.81693017021279,Equilibrio,2,Mixto-Transición,6.8833,-73.4167
68,SANTANDER,68705,SANTA BARBARA,2428,71.436078,11.55,3823.2672457142858,12.645523333333331,705.8094760513632,4624.708323098982,67771.38054086776,-63146.67221776878,1.9047398365317056,-26.0076903697565,37.12751934987768,Sumidero,0,Agrícola-Ganadero,6.0,-73.5167
68,SANTANDER,68720,SANTA HELENA DEL OPON,3380,125.211114,14.0,34730.278557142854,58.82537534445406,38419.4372262917,73347.752272779,149287.17689718166,-75939.42462440266,21.70051842389912,-22.467285391835105,33.84273901502567,Sumidero,2,Mixto-Transición,6.2167,-73.7
68,SANTANDER,68745,SIMACOTA,10380,604.45161,46.9,104793.44447725714,67.81807878787879,212464.58910030508,317977.2032663501,265979.78827718535,51997.41498916474,30.63364193317438,5.009384873715293,68.25239251450351,Emisor,2,Mixto-Transición,6.4333,-73.35
68,SANTANDER,68755,SOCORRO,33037,3104.540082,1632.25,18598.994062857146,1144.3411855555555,9554.0741736341,34034.1995040468,39421.90411727288,-5387.704613226073,1.030184323759627,-0.1630809278453271,53.03178034674508,Equilibrio,1,Mixto-Transición,6.4667,-73.2667
68,SANTANDER,68770,SUAITA,10046,565.296606,81.55,32626.76574,89.55168904122924,7405.679248480612,40768.84328352185,109346.7653907876,-68577.92210726577,4.058216532303589,-6.826390812986837,35.71628680645559,Sumidero,0,Agrícola-Ganadero,6.0833,-73.45
68,SANTANDER,68773,SUCRE,7185,181.057212,1790.62,24184.234277142856,10.082162771447711,126137.99568984196,152303.98934175624,309543.4265534568,-157239.43721170057,21.197493297391265,-21.88440323057767,17.041941575193498,Sumidero,2,Mixto-Transición,6.05,-73.5
68,SANTANDER,68780,SURATA,4118,145.595268,14.7,12830.147697142856,31.031490000000005,3256.003465739178,16277.477920882033,118871.4766684014,-102593.99874751936,3.952762972530848,-24.91354996297216,27.499464620664348,Sumidero,0,Agrícola-Ganadero,7.3667,-72.9833
68,SANTANDER,68820,TONA,7620,461.733552,73.5,14851.051171428571,37.22131777777777,4500.996479027048,19924.5025202334,57226.64342297085,-37302.14090273745,2.61476411026685,-4.895294081724074,44.10940340669766,Equilibrio,0,Agrícola-Ganadero,7.2167,-72.9667
68,SANTANDER,68855,VALLE DE SAN JOSE,6288,339.29721,33.6,6949.538971428571,76.99269513551904,8074.09986520632,15473.52874177041,26288.72446374459,-10815.195721974182,2.46080291694822,-1.7199738743597617,51.51236211966411,Equilibrio,2,Mixto-Transición,6.4333,-73.15
68,SANTANDER,68861,VELEZ,24858,3232.628658,2294.56,49614.39418912,373.9933866666667,37614.46368923607,93130.03992302272,137793.8153593449,-44663.775436322176,3.7464816124797946,-1.796756594911987,42.08377461174197,Equilibrio,2,Mixto-Transición,6.0167,-73.6833
68,SANTANDER,68867,VETAS,2139,176.718024,25325.63,1042.0308457142858,17.502876860059217,0.0,26561.881746574345,12180.99700348272,14380.884743091625,12.417897029721528,6.723181273067613,58.498292176758696,Equilibrio,1,Mixto-Transición,7.3,-72.8833
68,SANTANDER,68872,VILLANUEVA,8124,426.79854,21774.46,6603.40336,154.0117587713264,0.0,28958.673658771324,8812.126707346304,20146.54695142502,3.5645831682387152,2.4798802254339023,60.05998613333706,Emisor,1,Mixto-Transición,6.6667,-73.1833
68,SANTANDER,68895,ZAPATOCA,9669,688.58685,12121.61,15335.613445714289,269.2666383838384,7327.906778765671,35742.9837128638,84874.73835606525,-49131.75464320146,3.6966577425652902,-5.08136877062793,40.86679086192554,Equilibrio,1,Mixto-Transición,6.8167,-73.2667
